feature,excl_in_n_genes,min_enr,mean_enr,COL4A1_n_in,COL4A1_n_out,COL4A1_enr,COL4A2_n_in,COL4A2_n_out,COL4A2_enr,COL4A3_n_in,COL4A3_n_out,COL4A3_enr,COL4A4_n_in,COL4A4_n_out,COL4A4_enr,COL4A5_n_in,COL4A5_n_out,COL4A5_enr,COL4A6_n_in,COL4A6_n_out,COL4A6_enr
6340,0,0.415,0.855,1249,24165,0.63,690,32305,0.75,186,16066,0.42,166,18059,0.57,555,10007,1.57,440,28823,1.19
10350,0,0.415,0.689,131,1660,0.96,47,2329,0.71,27,2333,0.41,26,2815,0.58,110,4048,0.77,41,4574,0.7
28984,0,0.415,1.314,64,306,2.55,17,448,1.34,19,389,1.75,5,751,0.41,17,1031,0.47,12,687,1.36
15738,0,0.414,1.829,21,346,0.74,4,341,0.41,7,215,1.17,2,224,0.56,6,72,2.35,5,68,5.74
29704,0,0.414,0.728,368,3998,1.12,99,5242,0.67,64,5544,0.41,108,6925,0.97,185,8637,0.61,81,10767,0.59
25309,0,0.413,0.827,96,1042,1.12,48,1218,1.39,18,1563,0.41,22,1677,0.82,73,2581,0.8,14,2621,0.42
6863,0,0.412,0.882,42,595,0.86,13,722,0.64,12,504,0.85,4,604,0.41,23,493,1.32,13,837,1.21
4504,0,0.412,2.059,44,1301,0.41,28,1273,0.78,44,1315,1.2,121,1322,5.7,21,1251,0.47,63,1298,3.79
14958,0,0.412,1.041,197,1458,1.65,52,2274,0.81,143,3087,1.66,71,4519,0.98,121,8292,0.41,62,6533,0.74
26048,0,0.412,0.847,179,1774,1.23,63,2210,1.01,35,3044,0.41,68,3348,1.27,95,4874,0.55,41,5176,0.62
27595,0,0.412,1.129,1,29,0.42,1,56,0.63,1,87,0.41,2,84,1.48,4,90,1.26,3,91,2.57
14128,0,0.411,1.215,94,1836,0.62,80,2420,1.17,18,1025,0.63,10,1514,0.41,30,438,1.94,73,2260,2.52
3228,0,0.411,1.069,48,669,0.87,17,745,0.81,5,436,0.41,7,429,1.02,27,278,2.74,4,557,0.56
26336,0,0.41,0.757,74,536,1.68,14,946,0.52,17,927,0.66,16,1293,0.77,32,2203,0.41,13,2045,0.5
